2019-02-06 05:06:35,"b'RT @FirstThemFirst: Black Rape Myth: Terry Crews is sexually assaulted by a white male, but blames other black males for the behavior of sa\xe2\x80\xa6'"
2019-02-06 05:06:27,"b""RT @BrownPhDGirl: Vanessa's character is unquestionable - as a colleague and friend, she has been nothing but honest and a woman of integri\xe2\x80\xa6"""
2019-02-06 05:06:18,"b""RT @BrownPhDGirl: Realized that for some, why #IBelieveVanessa is trending is a question. https://t.co/7M1VnVy1bZ Here's why we stand with\xe2\x80\xa6"""
2019-02-06 05:06:16,"b'RT @tariqnasheed: Terry Crews hooked up with the white people who control #metoo and went around on a ""Black people have a culture of toxic\xe2\x80\xa6'"
2019-02-06 05:06:06,b'RT @VanessaCTyson: To say the last few weeks have been triggering would be an understatement. Sending love to all the survivors out there w\xe2\x80\xa6'
2019-02-06 05:06:01,b'The #MeToo movement matters. And it has only just begun. Today I stand up for those who have spoken out. \n\nAs a way\xe2\x80\xa6 https://t.co/5kcpmt7vGI'
2019-02-06 05:05:59,"b""RT @EmmaDaly: Not how I want to feature in a news story, but I think it's important to speak up since I have that privilege #MeToo \n\nTwo wo\xe2\x80\xa6"""
2019-02-06 05:05:59,b'RT @JoyyUnSpeakable: Now this is just ... \xf0\x9f\xa4\xac\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1#FirstThem #MeToo https://t.co/KHSgzZ8oFf'
2019-02-06 05:05:59,"b'RT @shanegleasonPhD: Dr. Tyson, like every #metoo survivor has everything to lose and nothing to gain in coming forward. #IBelieveVanessa h\xe2\x80\xa6'"
2019-02-06 05:05:58,"b""RT @EmmaDaly: Not how I want to feature in a news story, but I think it's important to speak up since I have that privilege #MeToo \n\nTwo wo\xe2\x80\xa6"""
2019-02-06 05:05:57,"b""RT @travis_naylor: #FirstThem @TheRoot @TIMESUPNOW #MeToo @MeTooMVMT Gay black men's silence is dangerous @terrycrews is this considered #T\xe2\x80\xa6"""
2019-02-06 05:05:28,b'What the absolute fuck is going on with the Catholic Church?\n\nThey need their own #metoo chapter.\n\nFFS what is up w\xe2\x80\xa6 https://t.co/lfEXHHYUpn'
2019-02-06 05:05:26,b'Nobel-Winning Former President of Costa Rica Is Accused of Sexual Assault. \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #MeToo  https://t.co/U57gSlcrfE'
2019-02-06 05:05:21,"b""RT @CalvinNoam: It's so shitty that PTSD never really goes away? My highschool career was going fantastic and somebody GAVE me this bs and\xe2\x80\xa6"""
2019-02-06 05:05:16,"b'RT @FirstThemFirst: Black Rape Myth: Terry Crews is sexually assaulted by a white male, but blames other black males for the behavior of sa\xe2\x80\xa6'"
2019-02-06 05:05:05,"b'Dr. Tyson, like every #metoo survivor has everything to lose and nothing to gain in coming forward. #IBelieveVanessa https://t.co/rZOj58VQvT'"
2019-02-06 05:05:01,b'RT @ashawarsamee: So Liam Neeson thinks the #MeToo movement is a witch hunt but also wants to kill a ANY black person for raping a woman he\xe2\x80\xa6'
2019-02-06 05:04:49,"b""Being intolerant to people who are intolerant to other people for being who they are is okay. But when you don't sh\xe2\x80\xa6 https://t.co/yTdk428CYn"""
2019-02-06 05:04:47,"b'RT @thighnos: She forgot to add that women don\xe2\x80\x99t think #AbortionIsMurder , explain that\xf0\x9f\xa4\x94 #feminism #MeToo #MGTOW #feminist #ToxicMasculinit\xe2\x80\xa6'"
2019-02-06 05:04:47,b'RT @NewmannMichael: Absolutely. The time has come when mansplaning and patriarchal oversight should be left behind like a fossil. Those mgt\xe2\x80\xa6'
2019-02-06 05:04:36,b'RT @tba2012: when you place your army at the border and they still try and break though! that is an INVASION! that is a NATIONAL EMERGENCY\xe2\x80\xa6'
2019-02-06 05:04:35,"b'@KamalaHarris Did Willie tell you??? Asking for that you know, #metoo movement.'"
2019-02-06 05:04:25,b'#MeToo no application of facial recognition beneficial enough to justify negatives .. https://t.co/kJZUoxlSik'
2019-02-06 05:04:12,b'@FirstThemFirst @tariqnasheed I\xe2\x80\x99m going to go out on a whim and say #metoo didn\xe2\x80\x99t support her like they did Terry c\xe2\x80\xa6 https://t.co/NoVtFbwXsn'
2019-02-06 05:04:07,"b'RT @FirstThemFirst: Black Rape Myth: Terry Crews is sexually assaulted by a white male, but blames other black males for the behavior of sa\xe2\x80\xa6'"
2019-02-06 05:04:04,"b'#Faith #Prayers Pope Francis Acknowledges, For First Time, Sexual Abuse Of Nuns By Priests: In the wake of the\xe2\x80\xa6 https://t.co/TivgCQ1s3g'"
